sample label, lake, date collected, water depth (cm), water color, pH, salinity (%TDS)
KCB 1, Gneiss Lake W. Australia, 4 Jan. 2015,2.5, yellow,1.4,32
KCB 2, Lake Magic I W. Australia, 1 Jan. 2015,2.5, yellow,2,30
KCB 3, Lake Magic II W. Australia, 15 Jan. 2015,5, yellow,1.6,30
KCB 4, Lake Aerodrome W. Australia, 19 Jan. 2009,1.2, yellow,1.8,29
KCB 5, Twin Lake West W. Australia, 23 Jan. 2009,10, green,2.6,27
KCB 6, Salar Gorbea site 7 Chile, 5 Mar. 2007,1, clear,2.7,28
KCB 7, Salar Gorbea site 10 Chile, 5 Mar. 2007,2, pink,1.8,18
KCB 8, Salar Ignorado site 3 Chile, 6 Mar. 2007,10, clear,3.8,5
